item_id,pair_id,family,condition,plausibility,observed,intended,edit_type,edit_distance,expected,literal_interp,edited_interp,notes
SUBW-01a,SUBW-01,SUBW,implausible,implaus,"the storyteller told an amusing antidote","the storyteller told an amusing anecdote",sub,2,edit,"speaker meant 'antidote'","speaker meant 'anecdote'","real-word malaprop; antidote anomalous after told/amusing"
SUBW-01b,SUBW-01,SUBW,plausible,plaus,"the doctor prepared a fast-acting antidote","the doctor prepared a fast-acting antidote",none,0,keep,"speaker meant 'antidote'","'anecdote' (reject)","same observed word in a context where it is correct"
SUBW-02a,SUBW-02,SUBW,implausible,implaus,"the medic treated the wound to prevent an inflection","the medic treated the wound to prevent an infection",sub,1,edit,"speaker meant 'inflection'","speaker meant 'infection'","d=1 (drop 'l'); strong context for infection"
SUBW-02b,SUBW-02,SUBW,plausible,plaus,"the teacher explained the verb's inflection","the teacher explained the verb's inflection",none,0,keep,"speaker meant 'inflection'","'infection' (reject)","inflection correct in a grammar context"
SUBW-03a,SUBW-03,SUBW,implausible,implaus,"the judge cited an important president","the judge cited an important precedent",sub,2,edit,"speaker meant 'president'","speaker meant 'precedent'","legal frame predicts precedent"
SUBW-03b,SUBW-03,SUBW,plausible,plaus,"the board elected a new president","the board elected a new president",none,0,keep,"speaker meant 'president'","'precedent' (reject)","president correct in an election context"
SUBW-04a,SUBW-04,SUBW,implausible,implaus,"the explorers trekked across the scorching dessert","the explorers trekked across the scorching desert",sub,1,edit,"speaker meant 'dessert'","speaker meant 'desert'","d=1 (drop 's'); 'scorching/trekked' predict desert"
SUBW-04b,SUBW-04,SUBW,plausible,plaus,"she ordered a rich chocolate dessert","she ordered a rich chocolate dessert",none,0,keep,"speaker meant 'dessert'","'desert' (reject)","dessert correct in a food context"
SUBW-05a,SUBW-05,SUBW,implausible,implaus,"he wore a very causal shirt to the wedding","he wore a very casual shirt to the wedding",sub,1,edit,"speaker meant 'causal'","speaker meant 'casual'","d=1 transposition (u/s); clothing context predicts casual"
SUBW-05b,SUBW-05,SUBW,plausible,plaus,"they studied the causal link between the variables","they studied the causal link between the variables",none,0,keep,"speaker meant 'causal'","'casual' (reject)","causal correct in a science context"
